ProductId,ProductName,SpendEUR,Quantity,UOM,VendorId,VendorName,VendorCity,VendorCountry,CategoryL1,CategoryL2
1,METAL LATCH BAXWYW.,4784.983972,6844.635491,ST,36,Crown Commercial Polska Sp.z.o.o.,Goleniow,PL,Packaging,Metal
1,METAL LATCH BAXWYW.,7732.260919,11060.54019,ST,36,Crown Commercial Polska Sp.z.o.o.,Goleniow,PL,Packaging,Metal
1,METAL LATCH BAXWYW.,2094.448912,2995.984823,ST,36,Crown Commercial Polska Sp.z.o.o.,Goleniow,PL,Packaging,Metal
1,METAL LATCH BAXWYW.,2827.503926,4044.576499,ST,36,Crown Commercial Polska Sp.z.o.o.,Goleniow,PL,Packaging,Metal
2,BEEF CUTTER RYRSGC.,26709.20692,140574.7732,G,34,OSI Food Solutions Austria GmbH & Co KG,Enns,AT,Raw Materials,Meat
2,BEEF CUTTER RYRSGC.,-15.62673,-82.24594737,G,34,OSI Food Solutions Austria GmbH & Co KG,Enns,AT,Raw Materials,Meat
2,BEEF CUTTER RYRSGC.,20268.98501,106678.8684,G,34,OSI Food Solutions Austria GmbH & Co KG,Enns,AT,Raw Materials,Meat
2,BEEF CUTTER RYRSGC.,26071.63633,137.2191386,KG,34,OSI Food Solutions Austria GmbH & Co KG,Enns,AT,Raw Materials,Meat
2,BEEF CUTTER RYRSGC.,10729.31282,56.47006746,KG,34,OSI Food Solutions Austria GmbH & Co KG,Enns,AT,Raw Materials,Meat
2,BEEF CUTTER RYRSGC.,13342.10207,70.22158986,KG,34,OSI Food Solutions Austria GmbH & Co KG,Enns,AT,Raw Materials,Meat
2,BEEF CUTTER RYRSGC.,-63.399876,-0.333683558,KG,49,Norbert Marcher GmbH Betriebstaette,Graz,AT,Raw Materials,Meat
2,BEEF CUTTER RYRSGC.,24341.58989,128.113631,KG,49,Norbert Marcher GmbH Betriebstaette,Graz,AT,Raw Materials,Meat
2,BEEF CUTTER RYRSGC.,-87.17483,-0.458814895,KG,49,Norbert Marcher GmbH Betriebstaette,Graz,AT,Raw Materials,Meat
2,BEEF CUTTER RYRSGC.,11938.98915,62.83678499,KG,49,Norbert Marcher GmbH Betriebstaette,Graz,AT,Raw Materials,Meat
3,SELF-ADHESIVE LABELS GHAIPL,581.251993,1024.507245,ST,27,MARZEK ETIKETTEN GMBH.,TRAISKIRCHEN,AT,Packaging,Label adhesive
3,SELF-ADHESIVE LABELS GHAIPL,726.564992,1280.634057,ST,27,MARZEK ETIKETTEN GMBH.,TRAISKIRCHEN,AT,Packaging,Label adhesive
3,SELF-ADHESIVE LABELS GHAIPL,145.312998,256.1268108,ST,27,MARZEK ETIKETTEN GMBH.,TRAISKIRCHEN,AT,Packaging,Label adhesive
3,SELF-ADHESIVE LABELS GHAIPL,1425.33788,2512.282112,ST,27,MARZEK ETIKETTEN GMBH.,TRAISKIRCHEN,AT,Packaging,Label adhesive
3,SELF-ADHESIVE LABELS GHAIPL,791.854378,1395.712285,ST,27,MARZEK ETIKETTEN GMBH.,TRAISKIRCHEN,AT,Packaging,Label adhesive
3,SELF-ADHESIVE LABELS GHAIPL,581.260816,1024.522796,ST,27,MARZEK ETIKETTEN GMBH.,TRAISKIRCHEN,AT,Packaging,Label adhesive
3,SELF-ADHESIVE LABELS GHAIPL,435.938995,768.3804341,ST,27,MARZEK ETIKETTEN GMBH.,TRAISKIRCHEN,AT,Packaging,Label adhesive
3,SELF-ADHESIVE LABELS GHAIPL,290.625997,512.2536233,ST,27,MARZEK ETIKETTEN GMBH.,TRAISKIRCHEN,AT,Packaging,Label adhesive
