Product,UOM,CO2-eq kg
[sulfonyl]urea-compound,kg,11.66570369674816
[thio]carbamate-compound,kg,10.359657231018629
"1,1-difluoroethane, HFC-152a",kg,6.5004680946469779
"1,1-dimethylcyclopentane",kg,0.75599911469072256
1-pentanol,kg,4.1587155846002277
"2,3-dimethylbutan",kg,1.211695573679439
"2,4-dichlorophenol",kg,4.4721019643391129
2-cyclopentone,kg,20.783209814526824
2-methyl-2-butanol,kg,3.7187363060108729
2-methylpentane,kg,1.0013837727275499
3-methyl-1-butyl acetate,kg,4.3263331431567122
"absorption chiller, 100kW",unit,24066.715207840134
acetaldehyde,kg,1.8546668331401326
"acetamide-anillide-compound, unspecified",kg,15.489385270393688
acetanilide,kg,5.9866680243875132
acetoacetic acid,kg,10.094365139165832
acetone cyanohydrin,kg,4.4786195797564652
"acetone, liquid",kg,1.983344815411914
aclonifen,kg,6.1885933612249229
acrolein,kg,2.787565274979285
acrylic acid,kg,1.8258938674271064
"acrylic varnish, without water, in 87.5% solution state",kg,2.0775513149916667
activated silica,kg,1.3321613693610144
adhesive mortar,kg,1.1256386003774765
"adhesive, for metal",kg,3.0858344997237515
"agricultural machinery, unspecified",kg,5.2480838080454166
"air compressor, screw-type compressor, 300kW",unit,10672.627014748239
"air compressor, screw-type compressor, 4kW",unit,862.89911290741156
"air filter, central unit, 600 m3/h",unit,2.3707547966528093
"air filter, decentralized unit, 250 m3/h",unit,0.32230691513756859
"air input/output unit, heat and power co-generation unit, 160kW electrical",unit,4634.4920345007667
air separation facility,unit,941697.37614963239
airport,unit,17088007245.392036
"alfalfa-grass mixture, Swiss integrated production",kg,0.13402039080231454
alfalfa-grass silage,kg,0.40235348300020579
"alkyd paint, white, without solvent, in 60% solution state",kg,6.4670566265497333
"alkyd paint, white, without water, in 60% solution state",kg,6.1938318866615063
"alkylbenzene, linear",kg,1.8154232396987267
allyl chloride,kg,1.068685133464383
alpha-naphthol,kg,2.7851104457046136
alpha-picoline,kg,4.0498435988723358
"aluminium alloy, AlMg3",kg,6.1047237217666304
"aluminium alloy, metal matrix composite",kg,13.621332995685332
aluminium casting facility,unit,11934221.133025248
aluminium electrolysis facility,unit,21751719.752290267
aluminium hydroxide factory,unit,24795450.921856221
aluminium oxide,kg,2.0789081123114541
aluminium oxide factory,unit,3334865.1470949217
"aluminium removed by drilling, conventional",kg,10.497458365064894
"aluminium removed by milling, dressing",kg,13.470901667005151
"aluminium removed by turning, average, computer numerical controlled",kg,16.50179165907095
"aluminium removed by turning, average, conventional",kg,12.239092667966043
"aluminium removed by turning, primarily dressing, conventional",kg,9.5931471599680282
"aluminium scrap, new",kg,4.1050292917978203E-2
"aluminium scrap, post-consumer",kg,3.5053357988961961E-2
"aluminium sulfate, powder",kg,0.74729955033740159
"aluminium sulfate, without water, in 4.33% aluminium solution state",kg,0.52308635903866241
"aluminium, cast alloy",kg,5.4163075326074974
"aluminium, primary, ingot",kg,15.676905952133225
"ammonia, liquid",kg,2.5546942449006873
ammonium carbonate,kg,1.5108171383905036
ammonium chloride,kg,1.52999566609894
ammonium nitrite,kg,3.7579636234537905
"anaerobic digestion plant, agriculture, with methane recovery",unit,108799.11235278517
anhydrite,kg,5.2702561062833157E-2
aniline,kg,5.2064136933817089
anionic resin,kg,2.852308975281773
anode factory,unit,13064340.913852643
anode refinery,unit,22398021.015007984
"anode slime, silver and tellurium containing stockpiling",kg,1.2652468688968568
"anti-reflex-coating, etching, solar glass",m2,1.9594483271335539
"application of plant protection product, by field sprayer",ha,12.354896126634912
apricot,kg,0.26596667564823095
