,ProductName,SpendEUR,Quantity,UOM,VendorName,VendorCity,VendorCountry,CategoryL1,CategoryL2,Quantity/kg
0,,14445.796859999999,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
1,,42631.120576,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
2,,42631.120576,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
3,,14445.796859999999,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
4,,419.1237,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
5,,42631.120576,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
6,,419.1237,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
7,,4284.953059,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
8,,4284.953059,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
9,,42631.399992,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
10,,14445.796859999999,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
11,,42631.120576,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
12,,419.1237,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
13,,419.1237,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
14,,42631.120576,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
15,,4284.3756,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
16,,4284.3756,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
17,,4284.3756,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
18,,4284.3756,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
19,,4284.3756,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
20,,4284.953059,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
21,,4284.953059,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
22,,4284.953059,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
23,,14445.796859999999,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
24,,14445.796859999999,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
25,,419.1237,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
26,,10319.75688,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
27,,42631.399992,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
28,,10319.75688,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
29,,10319.75688,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
30,,42631.399992,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
31,,42631.399992,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
32,,10319.75688,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
33,,10319.75688,,nan,AC NIELSEN GmbH.,WIEN,AT,Indirect,Professional Services,
34,BEEF SLICED IEGDVZ.,52582.615995,3093.095058529412,KG,Alpenrind GmbH,Salzburg,AT,Raw Materials,Meat,3093.095058529412
36,BEEF CUT OPPHNT.,15861.331053999998,1220.1023887692309,KG,Alpenrind GmbH,Salzburg,AT,Raw Materials,Meat,1220.1023887692309
